seller_id,seller_state,receita
00ee68308b45bc5e2660cd833c3f81cc,SP,23440.66
7b0df942f46435babab05d49b744b2c4,SP,23272.78
004c9cd9d87a3c30c522c48c4fc07416,SP,23263.94
b1b3948701c5c72445495bd161b83a4c,SP,22691.15
bfd27a966d91cfaafdb25d076585f0da,SP,22645.05
dc317f341ab0e22f39acbd9dbf9b4a1f,RS,22570.13
f457c46070d02cadd8a68551231220dd,PR,22552.05
48162d548f5b1b11b9d29d1e01f75a61,SP,22277.78
44073f8b7e41514de3b7815dd0237f4f,DF,21901.93
128639473a139ac0f3e5f5ade55873a5,PR,21694.45
0c8380b62e38e8a1e6adbeba7eb9688c,MG,21184.100000000002
41b39e28db005d9731d9d485a83b4c38,SP,20769.28
54a1852d1b8f10312c55e906355666ee,SP,20614.399999999998
7aa4334be125fcdd2ba64b3180029f14,SP,20603.329999999998
821fb029fc6e495ca4f08a35d51e53a5,SP,20596.89
cd68562d3f44870c08922d380acae552,SP,20564.14
86ccac0b835037332a596a33b6949ee1,SC,20544.13
76d64c4aca3a7baf218bf93ef7fa768d,PR,20455.29
fa40cc5b934574b62717c68f3d678b6d,SP,20444.35
96493fab2fbb13a14d0c0e8772eef5c3,SP,20181.23
d650b663c3b5f6fb392b6326366efa9a,SP,20153.04
2a5b78b41cd05baeac8df54c6606b92c,MG,20132.83
1e8b33f18b4f7598d87f5cbee2282cc2,SP,20011.3
527801b552d0077ffd170872eb49683b,SP,20005.36
c33847515fa6305ce6feb1e818569f13,SC,19894.26
4b9750c8ad28220fe6702d4ecb7c898f,SP,19305.1
9de4643a8dbde634fe55621059d92273,SC,19282.41
79ebd9a61bac3eaf882805ed4ecfa12a,PR,19105.14
165fc07beebdcb6190fba8a06db2a449,PR,19081.43
4c2b230173bb36f9b240f2b8ac11786e,SP,18989.84
2a84855fd20af891be03bc5924d2b453,MG,18927.8
a888faf2d1baececa6baf9c3d603ee1f,PR,18887.32
213b25e6f54661939f11710a6fddb871,SP,18839.96
c72de06d72748d1a0dfb2125be43ba63,BA,18733.18
94144541854e298c2d976cb893b81343,RS,18715.65
